,label,text
0,-MacfdZb00xsFOjoV9_R,"-MacfdZb00xsFOjoV9_R [{'lCategory': 'Music', 'mCategory': 'C-pop', 'sCategory': '서울과학기술대학교', 'type': 1}] 서울과학기술대학교  안녕하세요."
1,-Mc6pPVWzuEgfL4ksnvG,"-Mc6pPVWzuEgfL4ksnvG [{'lCategory': 'Music', 'mCategory': '댄스', 'sCategory': '서울과기대', 'type': 1}] 서울과기대  안녕하세요?"
2,ENOB(박솔),"ENOB(박솔) [{'lCategory': 'Music', 'mCategory': '록 음악', 'sCategory': '솔루션스', 'type': 1}] 솔루션스 [{'content': ""\n\n\n\n\n\n\n김효정 기자\n기자 페이지\n\n\n\n\n\n\n\n\n\n솔루션스 새 EP 예고 이미지\n[해피로봇 레코드 제공]\n\n\n\n (서울=연합뉴스) 김효정 기자 = 4인조 밴드 솔루션스가 다음 달 새 미니앨범(EP)으로 돌아온다.\n 26일 소속사 해피로봇 레코드에 따르면 솔루션스는 다음 달 3일 새 EP '로드'(LOAD)를 발매한다. \n 타이틀곡은 '댄스 위드 미'(Dance With Me)이며, 지난해 발매한 EP '시그너처'(SIGNATURE)를 시작으로 기획된 4부작 시리즈의 두 번째 앨범이다.\n\n광고\n\n\n \n 솔루션스는 새 EP 발매를 기념해 이달 30일부터 다음 달 7일까지 9일 동안 '솔루션스 위크'를 열고 쇼케이스, 인스타그램 라이브 등 다채로운 콘텐츠를 팬들에게 선보일 예정이다.\n\n\n\n\n\n 나루, 박솔, 권오경, 박한솔로 구성된 솔루션스는 일렉트로닉을 토대로 감각적이고 '미래지향적'인 사운드를 선보이는 팀이다.\n kimhyoj@yna.co.kr\n\n<저작권자(c) 연합뉴스,\n무단 전재-재배포 금지>\n2020/05/26 10:53 송고\n\n"", 'image': 'https://firebasestorage.googleapis.com/v0/b/supportapp-f34a1.appspot.com/o/%EC%86%94%EB%A3%A8%EC%85%98%EC%8A%A4.jpg?alt=media&token=1d94300c-b35e-4e9c-a9ae-5983c28d9f47', 'time': 1590490380000, 'title': ""밴드 솔루션스, 다음달 새 미니앨범 '로드'""}] 182cm, 65kg"
3,김기탁,"김기탁 [{'lCategory': 'Sport', 'mCategory': '축구', 'sCategory': '김해시청축구단', 'type': 1}] 한화이글스  "
4,김민준,"김민준 [{'lCategory': 'Sport', 'mCategory': '축구', 'sCategory': '김해시청축구단', 'type': 1}]  [{'content': '\n\n\n\n\n\n\n장보인 기자\n기자 페이지\n\n\n\n\n\n\n\n\n\n김해시청, 통합 K3리그 초대 우승\n[대한축구협회 제공. 재판매 및 DB 금지]\n\n\n\n (서울=연합뉴스) 장보인 기자 = 김해시청축구단(김해시청)이 통합 K3리그 초대 우승을 차지했다.\n 윤성효 감독이 이끄는 김해시청은 5일 김해운동장에서 열린 경주한수원축구단(경주한수원)과 2020 K3리그 챔피언결정전 2차전에서 1-1로 비겼다.\n 지난달 28일 경주시민운동장에서 열린 1차전에서 1-0으로 승리했던 김해시청은 1, 2차전 합계 2-1로 우승을 확정했다.\n\n광고\n\n\n \n 김해시청은 1차전 승리로 비교적 여유가 있음에도 이날 고삐를 놓치지 않고 선제골로 기선제압에 나섰다.\n\n\n\n\n\n 전반 31분 역습 상황에서 박희성의 패스가 김민준을 거쳐 주한성에게 연결, 주한성이 득점으로 연결했다.\n 1차전에서 결승 골을 뽑아낸 주한성은 두 경기 연속 득점하며 팀의 우승을 이끌었다.\n 경주한수원도 후반 반격에 나섰다.\n 후반 6분 신학영의 크로스를 김찬희가 문전으로 떨어뜨렸고 조우진이 마무리해 동점 골을 기록했다.\n 그대로 경주한수원이 분위기를 주도하는 듯했으나, 변수가 생겼다. 후반 17분 김찬희가 경고 누적으로 퇴장당했다.\n 경주한수원은 수적 열세를 떠안고도 여러 차례 공격을 시도했지만, 결국 기회를 살리지 못했고 김해시청이 우승 트로피를 들어 올렸다.\n boin@yna.co.kr\n\n<저작권자(c) 연합뉴스,\n무단 전재-재배포 금지>\n2020/12/05 16:42 송고\n\n', 'image': 'https://firebasestorage.googleapis.com/v0/b/supportapp-f34a1.appspot.com/o/%EA%B9%80%EB%AF%BC%EC%A4%80%EB%89%B4%EC%8A%A4.jpg?alt=media&token=fc37ece0-f66f-4b3d-8b78-e0215dc17a94', 'time': 1607186520000, 'title': '김해시청, 통합 K3 초대 우승…한수원에 1·2차전 합계 2-1 승리'}] 177/72"
5,김재철,"김재철 [{'lCategory': 'Sport', 'mCategory': '축구', 'sCategory': '김해시청축구단', 'type': 1}] 김해시청축구단  173/66"
6,김진용,"김진용 [{'lCategory': 'Sport', 'mCategory': '야구', 'sCategory': '상무농구단', 'type': 1}] 상무농구단  "
7,박지훈,"박지훈 [{'lCategory': 'Sport', 'mCategory': '축구', 'sCategory': '상무농구단', 'type': 1}] 상무농구단  "
8,배천석,"배천석 [{'lCategory': 'Sport', 'mCategory': '축구', 'sCategory': '김해시청축구단', 'type': 1}] 김해시청축구단 [{'content': ""\n\n\n\n\n\n\n배진남 기자\n기자 페이지\n\n\n\n K3·K4리그 13일 개막…9개월 그라운드 열전 '킥오프'\n\n\n\n\n\n\nK3리그 경기 모습.\n[대한축구협회 제공. 재판매 및 DB 금지]\n\n\n\n (서울=연합뉴스) 배진남 기자 = 한국 축구의 3부와 4부 리그에 해당하는 K3· K4리그가 오는 13일 출범 두 번째 시즌의 막을 올린다.\n 12일 대한축구협회에 따르면 지난해 내셔널리그와의 통합으로 새 판을 짰던 K3리그는 올해 '디펜딩 챔피언' 김해시청을 비롯해 총 15개 팀이 참가해 기량을 겨룬다.\n\n광고\n\n\n \n 지난해 K4리그에서 우승한 파주시민축구단과 2위 울산시민축구단도 승격해 K3리그에서 경쟁한다.\n\n\n\n\n\n 정규리그는 오는 11월 초까지 홈 앤드 어웨이 방식으로 팀당 28경기씩 치른다. \n 이후 정규리그 1∼4위가 참가하는 챔피언십 시리즈를 통해 최종 우승팀을 가린다.\n 윤성효 감독이 이끄는 김해시청은 FC목포를 홈으로 불러 개막전을 갖는다. \n 김해시청은 지난해 우승의 주역이었던 공격수 박희성이 프로축구 K리그2(2부) 전남 드래곤즈로 이적하며 공백이 생겼지만 주한성, 배천석 등 주요 선수를 잔류시키는 데 성공했다. \n 여기에 브라질 출신의 루카스, 루안 코스타를 영입하면서 전력이 향상됐다는 평가를 받는다.\n 지난해 K3리그 준우승팀 경주한수원은 평택시티즌을 맞아 홈에서 첫 경기를 치른다. \n 경주는 K리그1(1부) 인천 유나이티드에서 활약한 남준재를 영입해 올해는 반드시 우승컵을 들어 올린다는 각오다.\n 강릉시청은 강릉시민축구단으로 이름을 바꾸고 승격팀 파주시민축구단과 대결하는 등 7경기가 1라운드에서 펼쳐진다.\n K4리그는 지난해 13개 팀에서 올해는 16개 팀으로 참가팀이 늘었다. \n 이천시민축구단이 해체됐으나 3개의 신생팀(거제시민축구단, 당진시민축구단, 평창유나이티드)이 가세했다. \n 또 올해부터 프로 2군 팀의 참가가 허용됨에 따라 K리그 팀 중에는 유일하게 강원FC B팀이 출전한다. \n 리그는 11월까지 총 30라운드를 치른다. K4는 K3와 달리 정규리그 성적만으로 최종 우승팀을 결정한다.\n 개막전 8경기 중 평창유나이티드-당진시민축구단의 대결은 평창 지역의 신종 코로나바이러스 감염증(코로나19) 확산으로 연기됐다.\n 지난해와 마찬가지로 K3리그와 K4리그 간에는 승강이 시행된다. \n K3리그 최하위 팀(15위)은 내년 K4리그로 강등되고, K4리그 상위 두 팀은 K3리그로 승격한다. K3리그 14위 팀과 K4리그 3-4위 팀 간 승격 플레이오프에서 승리한 팀은 승격 결정전에 나서서 마지막 승강 싸움을 벌인다.\n K3, K4리그의 시즌 모든 경기는 네이버를 통해 생중계된다. \n 파주시민, 양평FC, 노원 유나이티드의 홈 경기는 당분간 무관중으로 열린다. 그 외 팀들에는 제한된 수의 관중 입장이 허용된다.\n hosu1@yna.co.kr\n\n<저작권자(c) 연합뉴스,\n무단 전재-재배포 금지>\n2021/03/12 14:43 송고\n\n"", 'image': 'https://firebasestorage.googleapis.com/v0/b/supportapp-f34a1.appspot.com/o/%EB%B0%B0%EC%B2%9C%EC%84%9D%EB%89%B4%EC%8A%A4.jpg?alt=media&token=57ed464e-9830-40cb-9544-29f2ef39e802', 'time': 1615560180000, 'title': ""K3·K4리그 13일 개막…9개월 그라운드 열전 '킥오프'""}] 187/80"
9,변성환,"변성환 [{'lCategory': 'Music', 'mCategory': '록 음악', 'sCategory': '브로큰발렌타인', 'type': 1}] 브로큰발렌타인  2008년 아시안비트 야마하 페스티벌 대상"
10,소연,"소연 [{'lCategory': 'Music', 'mCategory': 'K-pop', 'sCategory': '라붐', 'type': 1}] 라붐  "
11,솔빈,"솔빈 [{'lCategory': 'Music', 'mCategory': 'K-pop', 'sCategory': '라붐', 'type': 1}] 라붐  "
